C,1,1,11,5,5,0,4,5,4,0,5,0,0,5,5,5,5,22,5,5,5,4,0,0,0,0,4,0,0,5,5,33,0,5,4,4,4,4,4,4,4,4,4
M,1,1,11,3,3,4,4,4,3,3,4,3,3,3,4,4,4,22,3,3,3,2,3,2,2,2,3,3,3,3,3,33,2,4,4,4,4,4,4,4,3,4,4
C,1,1,11,3,3,3,3,2,2,3,3,3,3,3,3,3,3,22,3,3,3,2,2,2,1,2,3,3,4,5,3,33,3,3,3,3,3,3,3,3,3,0,3
M,1,1,11,4,3,1,2,2,1,4,3,1,3,3,3,3,3,22,2,2,3,2,1,1,1,1,1,2,2,3,1,33,2,3,3,3,1,1,1,5,1,1,4
C,1,1,11,3,2,0,2,2,2,2,2,2,2,2,2,2,3,22,2,2,2,2,2,1,1,1,2,2,1,2,2,33,3,3,3,2,2,2,2,2,2,2,2
C,1,1,11,3,3,3,2,2,2,2,2,2,2,2,2,2,3,22,2,2,2,2,2,2,2,2,2,2,2,2,2,33,2,3,3,2,2,2,2,2,2,2,2
C,1,1,11,4,3,3,3,3,2,3,3,3,2,4,4,4,2,22,4,3,3,3,3,2,2,2,3,2,4,4,3,33,3,3,3,4,4,4,3,4,3,4,3
C,1,1,11,5,5,5,5,5,2,5,5,2,1,2,2,5,5,22,2,2,2,3,2,2,2,2,5,2,2,2,2,33,3,5,5,5,5,5,4,5,5,5,5
M,1,1,11,5,5,5,5,4,4,4,4,4,4,0,0,4,4,22,4,4,3,3,3,2,2,4,4,4,3,4,4,33,4,5,5,4,4,4,0,4,4,4,4
C,1,1,11,3,3,4,4,3,2,0,2,2,2,3,3,3,3,22,3,3,2,2,3,2,2,2,4,4,4,4,4,33,2,4,4,4,2,3,3,2,2,2,3
M,1,1,11,4,3,4,4,4,2,4,4,3,2,3,4,3,4,22,4,3,4,3,4,2,0,4,5,4,5,5,3,33,2,4,4,4,3,0,0,2,4,2,3
C,1,1,11,5,5,5,5,4,4,5,5,5,5,5,5,5,4,22,5,5,5,3,4,0,0,0,5,3,5,5,5,33,3,4,5,5,5,5,3,3,4,3,4
M,1,1,11,4,3,0,4,3,2,3,4,3,2,3,4,4,3,22,2,2,2,2,3,3,2,3,3,2,2,3,2,33,3,4,4,3,3,3,3,4,3,3,3
M,1,0,11,3,4,0,4,4,0,0,4,0,0,2,2,4,4,22,2,1,1,1,1,2,1,1,2,1,1,2,1,33,4,3,3,3,2,2,2,4,2,2,2
M,1,1,11,5,5,0,5,5,0,0,5,5,0,5,5,5,5,22,5,5,5,5,4,0,0,0,5,5,5,5,5,33,5,5,5,5,5,5,5,5,5,5,5
X,X,X,11,4,4,0,4,3,0,0,3,3,3,3,0,4,4,22,4,4,4,0,0,0,0,0,4,0,4,4,0,33,0,0,0,4,4,4,0,4,0,0,4
M,1,1,11,4,4,0,4,3,3,4,4,1,3,0,0,0,4,22,3,3,3,3,2,0,0,0,0,0,0,0,0,33,3,0,0,0,0,0,0,0,0,0,0
M,1,1,11,5,5,0,5,4,4,0,4,4,3,4,4,5,4,22,5,5,4,3,4,3,3,0,4,4,4,5,4,33,4,5,4,4,4,4,5,4,4,5,4
E,1,1,11,4,3,0,5,5,2,2,5,2,1,1,1,4,5,22,5,4,2,1,1,1,1,1,1,1,2,1,1,33,2,5,3,2,2,1,0,4,2,1,2
E,1,X,11,4,4,5,5,4,4,5,5,5,4,4,4,5,5,22,4,4,5,4,5,4,0,0,5,4,5,5,4,33,4,5,5,5,5,5,0,5,5,4,4
